county,year,asthma_rate,D_Rural,,,,county,year,asthma_rate,D_Rural,,,Year,RuralAvgRate,UrbanAvgRate
Adams,2001,10.2,1,,,,Allegheny,2001,18.4,0,,,2001,11.6,14.52
Armstrong,2001,11.6,1,,,,Beaver,2001,12.7,0,,,2002,11.94,14.55
Bedford,2001,6.3,1,,,,Berks,2001,18.6,0,,,2003,14.12,17.58
Blair,2001,8.2,1,,,,Bucks,2001,11.5,0,,,2004,12.57,14.86
Bradford,2001,6.6,1,,,,Chester,2001,7.6,0,,,2005,13.2,15.91
Butler,2001,8.3,1,,,,Cumberland,2001,9,0,,,2006,13.05,15.77
Cambria,2001,12.1,1,,,,Dauphin,2001,14.4,0,,,2007,11.72,14.83
Carbon,2001,16.2,1,,,,Delaware,2001,17.6,0,,,2008,12.37,15.45
Centre,2001,7.1,1,,,,Erie,2001,9.9,0,,,2009,12.45,15.86
Clearfield,2001,12,1,,,,Lackawanna,2001,14.3,0,,,2010,10.19,13.73
Columbia,2001,15,1,,,,Lancaster,2001,10.9,0,,,2011,9.84,13.77
Crawford,2001,11,1,,,,Lebanon,2001,6.7,0,,,2012,8.69,12.63
Elk,2001,9.8,1,,,,Lehigh,2001,14.8,0,,,2013,7.93,11.95
Fayette,2001,18.8,1,,,,Luzerne,2001,10.2,0,,,2014,7.91,11.49
Franklin,2001,10.5,1,,,,Montgomery,2001,12.5,0,,,,,
Greene,2001,12.1,1,,,,Northampton,2001,15.2,0,,,,,
Huntingdon,2001,15.5,1,,,,Philadelphia,2001,44.5,0,,,,,
Indiana,2001,14,1,,,,Westmoreland,2001,17.6,0,,,,,
Jefferson,2001,10.2,1,,,,York,2001,9.5,0,,,,,
Lawrence,2001,20.9,1,,,,Allegheny,2002,16.2,0,,,,,
Lycoming,2001,5.7,1,,,,Beaver,2002,15.2,0,,,,,
McKean,2001,14.5,1,,,,Berks,2002,19.1,0,,,,,
Mercer,2001,13.2,1,,,,Bucks,2002,10.7,0,,,,,
Mifflin,2001,16.3,1,,,,Chester,2002,8,0,,,,,
Monroe,2001,11.2,1,,,,Cumberland,2002,9.4,0,,,,,
Northumberland,2001,10.6,1,,,,Dauphin,2002,11.9,0,,,,,
Schuylkill,2001,18.6,1,,,,Delaware,2002,15.9,0,,,,,
Somerset,2001,9.9,1,,,,Erie,2002,9.7,0,,,,,
Susquehanna,2001,17.8,1,,,,Lackawanna,2002,12.6,0,,,,,
Venango,2001,15.9,1,,,,Lancaster,2002,12.4,0,,,,,
